Company name,Symbol
Fine Organic Industries Limited,NSE: FINEORG
Fineotex Chemical Limited,NSE: FCL
Finolex Cables Limited,NSE: FINCABLES
Finolex Industries Limited,NSE: FINPIPE
Firstsource Solutions Limited,NSE: FSL
Flexituff Ventures International Limited,NSE: FLEXITUFF
Focus Lighting and Fixtures Limited,NSE: FOCUS
Fortis Healthcare Limited,NSE: FORTIS
Foseco India Limited,NSE: FOSECOIND
Fourth Dimension Solutions Limited,NSE: FOURTHDIM
Future Consumer Limited,NSE: FCONSUMER
Future Enterprises Limited,NSE: FEL
Future Lifestyle Fashions Limited,NSE: FLFL
Future Market Networks Limited,NSE: FMNL
Future Retail Limited,NSE: FRETAIL
Future Supply Chain Solutions Limited,NSE: FSC
Gabriel India Limited,NSE: GABRIEL
GAIL (India) Limited,NSE: GAIL
Galaxy Surfactants Limited,NSE: GALAXYSURF
Gallantt Ispat Limited,NSE: GALLISPAT
Gallantt Metal Limited,NSE: GALLANTT
Gammon Infrastructure Projects Limited,NSE: GAMMNINFRA
Gandhi Special Tubes Limited,NSE: GANDHITUBE
Ganesh Housing Corporation Limited,NSE: GANESHHOUC
Ganesha Ecosphere Limited,NSE: GANECOS
Ganga Forging Limited,NSE: GANGAFORGE
Ganges Securities Limited,NSE: GANGESSECU
Garden Reach Shipbuilders & Engineers Limited,NSE: GRSE
Garden Silk Mills Limited,NSE: GARDENSILK
Garware Technical Fibres Limited,NSE: GARFIBRES
Gateway Distriparks Limited,NSE: GDL
GATI Limited,NSE: GATI
Gayatri Highways Limited,NSE: GAYAHWS
Gayatri Projects Limited,NSE: GAYAPROJ
GB Global Limited,NSE: GBGLOBAL
GE Power India Limited,NSE: GEPIL
GE T&D India Limited,NSE: GET&D
GeeCee Ventures Limited,NSE: GEECEE
Geekay Wires Limited,NSE: GEEKAYWIRE
General Insurance Corporation of India,NSE: GICRE
Genesys International Corporation Limited,NSE: GENESYS
Genus Paper & Boards Limited,NSE: GENUSPAPER
Genus Power Infrastructures Limited,NSE: GENUSPOWER
Geojit Financial Services Limited,NSE: GEOJITFSL
GFL Limited,NSE: GFLLIMITED
GHCL Limited,NSE: GHCL
GI Engineering Solutions Limited,NSE: GISOLUTION
GIC Housing Finance Limited,NSE: GICHSGFIN
Gillanders Arbuthnot & Company Limited,NSE: GILLANDERS
Gillette India Limited,NSE: GILLETTE
Ginni Filaments Limited,NSE: GINNIFILA
GIR Natureview Resorts Limited,NSE: GIRRESORTS
GKW Limited,NSE: GKWLIMITED
Gland Pharma Limited,NSE: GLAND
GlaxoSmithKline Consumer Healthcare Limited,NSE: GSKCONS
GlaxoSmithKline Pharmaceuticals Limited,NSE: GLAXO
Glenmark Pharmaceuticals Limited,NSE: GLENMARK
Global Education Limited,NSE: GLOBAL
Global Offshore Services Limited,NSE: GLOBOFFS
Global Vectra Helicorp Limited,NSE: GLOBALVECT
Globe International Carriers Limited,NSE: GICL
Globe Textiles (India) Limited,NSE: GLOBE
Globus Spirits Limited,NSE: GLOBUSSPR
GM Breweries Limited,NSE: GMBREW
GMM Pfaudler Limited,NSE: GMMPFAUDLR
GMR Infrastructure Limited,NSE: GMRINFRA
GNA Axles Limited,NSE: GNA
Goa Carbon Limited,NSE: GOACARBON
GOCL Corporation Limited,NSE: GOCLCORP
Godawari Power And Ispat limited,NSE: GPIL
Godfrey Phillips India Limited,NSE: GODFRYPHLP
Godha Cabcon & Insulation Limited,NSE: GODHA
Godrej Agrovet Limited,NSE: GODREJAGRO
Godrej Consumer Products Limited,NSE: GODREJCP
Godrej Industries Limited,NSE: GODREJIND
Godrej Properties Limited,NSE: GODREJPROP
Goenka Diamond and Jewels Limited,NSE: GOENKA
Gokaldas Exports Limited,NSE: GOKEX
Gokul Agro Resources Limited,NSE: GOKULAGRO
Gokul Refoils and Solvent Limited,NSE: GOKUL
Golden Tobacco Limited,NSE: GOLDENTOBC
Goldiam International Limited,NSE: GOLDIAM
Goldstar Power Limited,NSE: GOLDSTAR
Goldstone Technologies Limited,NSE: GOLDTECH
Goodluck India Limited,NSE: GOODLUCK
GP Petroleums Limited,NSE: GULFPETRO
GPT Infraprojects Limited,NSE: GPTINFRA
Grand Foundry Limited,NSE: GFSTEELS
Granules India Limited,NSE: GRANULES
Graphite India Limited,NSE: GRAPHITE
Grasim Industries Limited,NSE: GRASIM
Gravita India Limited,NSE: GRAVITA
Greaves Cotton Limited,NSE: GREAVESCOT
